B,T,Mal,Fre,Op,Total
280,440,4.50906,0.000871258,9.5056e-05,4.51002
230,410,4.49452,0.000590599,7.8041e-05,4.49519
80,170,4.49248,0.000195823,2.7475e-05,4.4927
270,390,4.51875,0.00060975,8.9424e-05,4.51945
380,90,4.55264,0.000272516,3.3219e-05,4.55294
130,490,4.49816,0.000371357,5.4873e-05,4.49858
20,280,4.54836,0.000183262,3.0265e-05,4.54858
210,320,4.51406,0.0003806,5.5869e-05,4.51449
300,30,4.48527,0.000243647,3.4547e-05,4.48555
300,320,0.100123,0.000719979,8.0553e-05,0.100923
390,400,4.5401,0.000901139,0.00012715,4.54113
340,90,4.48525,0.000264459,3.137e-05,4.48554
140,170,0.0744753,0.000359133,3.2619e-05,0.0748671
380,270,4.49363,0.000610925,8.6026e-05,4.49433
350,250,4.49932,0.000553468,7.2487e-05,4.49995
80,150,4.49539,0.000195128,2.958e-05,4.49561
430,290,4.47847,0.000682416,0.000103998,4.47925
130,80,4.50687,0.000189441,3.0423e-05,4.50709
260,110,4.49693,0.000252643,3.0149e-05,4.49722
480,380,4.51004,0.000979692,0.000147051,4.51117
240,460,4.51911,0.000642784,9.2398e-05,4.51984
420,260,4.51673,0.000668789,9.1191e-05,4.51749
220,230,4.52514,0.000330552,4.5038e-05,4.52551
450,30,4.49509,0.000202488,3.0993e-05,4.49532
410,320,4.48877,0.000824436,0.000107505,4.4897
230,310,4.512,0.000422441,5.9756e-05,4.51249
120,10,4.48429,0.000154841,2.9288e-05,4.48447
280,510,4.51728,0.000796097,0.000117425,4.5182
270,500,4.51288,0.000829217,0.000111106,4.51382
20,140,4.4823,0.000167699,3.0842e-05,4.4825
160,300,4.50892,0.000329742,3.7174e-05,4.50929
330,140,4.48417,0.000317774,4.1529e-05,4.48453
220,450,4.47886,0.000595378,8.3056e-05,4.47954
320,20,4.4862,0.000177567,3.1285e-05,4.48641
280,290,0.0918881,0.000550948,7.0298e-05,0.0925094
150,360,4.5261,0.000349307,4.6864e-05,4.5265
100,100,4.50905,0.00022687,3.4475e-05,4.50931
430,20,4.47928,0.000188542,3.3803e-05,4.4795
240,350,4.49282,0.000448335,7.0135e-05,4.49334
260,30,4.50435,0.00017569,2.8862e-05,4.50455
130,480,4.49168,0.000368802,5.2401e-05,4.4921
430,140,4.49629,0.000383872,5.1652e-05,4.49672
190,400,0.108172,0.00109717,6.4687e-05,0.109334
340,440,4.50133,0.000877036,0.000122775,4.50233
150,40,4.45415,0.000181511,3.0717e-05,4.45436
350,120,4.48367,0.000308533,3.8618e-05,4.48402
370,120,4.48826,0.000309363,4.0518e-05,4.48861
320,490,4.50134,0.000915861,0.000129275,4.50238
100,270,4.48109,0.000246786,3.2288e-05,4.48137
310,270,4.51079,0.000470237,6.9037e-05,4.51133
320,310,4.515,0.000602143,8.3425e-05,4.51569
500,170,4.54148,0.000571954,6.161e-05,4.54211
400,80,4.49378,0.000271536,3.457e-05,4.49408
250,220,4.51052,0.000344855,4.7967e-05,4.51091
250,330,4.55394,0.000437659,6.8908e-05,4.55445
260,250,4.49202,0.00038377,5.5441e-05,4.49246
140,140,4.51508,0.000316679,3.2325e-05,4.51543
250,480,4.50736,0.000674688,9.7079e-05,4.50813
290,440,4.48989,0.000733802,0.000104606,4.49073
100,330,4.48873,0.000265967,3.3138e-05,4.48903
100,120,4.46866,0.000198758,3.2043e-05,4.46889
470,450,4.51575,0.00112071,0.000171363,4.51704
340,500,4.4861,0.000958047,0.000138905,4.4872
400,220,4.51998,0.000552865,7.2599e-05,4.5206
370,420,4.4898,0.000882674,0.000127553,4.49081
310,190,4.5009,0.000366093,5.1341e-05,4.50132
480,210,4.51732,0.000667237,8.2512e-05,4.51807
50,500,4.46142,0.000272206,3.2639e-05,4.46173
190,100,0.0819714,0.000219393,2.9752e-05,0.0822206
190,480,0.118681,0.000695287,7.461e-05,0.119451
150,250,4.5051,0.000281209,3.5821e-05,4.50541
90,270,4.47573,0.000238824,3.177e-05,4.476
30,470,4.5231,0.00022027,3.0887e-05,4.52335
20,80,4.51549,0.000158227,2.9996e-05,4.51568
170,490,4.5722,0.000536971,6.373e-05,4.5728
50,220,4.56344,0.000194234,3.0144e-05,4.56366
350,310,4.49848,0.0006347,9.1602e-05,4.4992
420,240,4.52821,0.000628409,8.3484e-05,4.52892
270,420,4.4922,0.000641562,9.4324e-05,4.49293
250,290,4.49531,0.000412615,6.1095e-05,4.49578
180,300,4.4822,0.000339059,4.7073e-05,4.48259
400,400,4.48995,0.00095857,0.000125004,4.49103
210,440,0.101975,0.000576801,7.8859e-05,0.102631
20,30,4.51688,0.000154994,2.9928e-05,4.51707
260,170,4.49791,0.000315887,4.0463e-05,4.49827
30,100,4.45471,0.000171565,2.9682e-05,4.45491
50,190,4.49219,0.000199741,3.0925e-05,4.49242
280,100,4.47188,0.000255976,3.764e-05,4.47218
390,20,4.48863,0.000231026,3.8195e-05,4.4889
230,190,4.48252,0.000301985,3.9672e-05,4.48286
280,50,4.50425,0.000203744,3.1894e-05,4.50449
100,470,0.0902217,0.000382226,4.4667e-05,0.0906486
10,20,4.48059,0.000157415,3.0987e-05,4.48078
320,360,4.51166,0.000654254,9.6063e-05,4.51241
230,360,4.47942,0.000443875,6.7546e-05,4.47994
510,390,4.52492,0.00107601,0.000161878,4.52616
110,250,4.48299,0.000247362,3.1632e-05,4.48326
450,340,4.47937,0.000877515,0.000125323,4.48037
20,440,4.52418,0.000231396,3.5144e-05,4.52444
340,390,4.50424,0.000844288,0.000109888,4.5052
270,190,4.49635,0.000334752,4.5571e-05,4.49673
300,430,4.51421,0.00070081,0.000107377,4.51502
10,310,4.47883,0.00016548,3.0032e-05,4.47903
220,400,4.48401,0.000591087,6.6448e-05,4.48466
20,490,4.51031,0.000191957,3.1199e-05,4.51053
120,200,4.46593,0.000228998,3.0739e-05,4.46619
180,260,4.49875,0.000343213,3.7019e-05,4.49913
180,190,4.52897,0.000278985,3.3118e-05,4.52928
420,430,4.50059,0.000998859,0.000147229,4.50174
30,490,4.47712,0.000221247,3.1493e-05,4.47737
10,200,0.123642,0.000172509,3.2163e-05,0.123847
140,130,4.48386,0.000217124,3.1906e-05,4.4841
180,10,4.51376,0.000163062,3.0261e-05,4.51395
230,450,4.51326,0.000611586,8.7165e-05,4.51396
390,230,4.5131,0.000574452,7.4486e-05,4.51375
20,510,4.49241,0.000203221,3.1751e-05,4.49265
70,290,4.47118,0.00024252,3.058e-05,4.47145
100,150,4.46491,0.000203306,3.1743e-05,4.46514
140,450,4.50097,0.000379965,5.3642e-05,4.50141
360,380,4.51974,0.000840236,0.000112203,4.52069
510,450,4.51755,0.00116887,0.000184365,4.5189
240,190,4.50299,0.000323949,4.0798e-05,4.50336
430,440,4.49474,0.00101851,0.000151537,4.49591
360,50,4.48789,0.00023064,3.0698e-05,4.48815
190,430,0.0858857,0.000437909,7.1086e-05,0.0863947
130,110,0.0902564,0.000213356,4.1518e-05,0.0905113
300,150,0.0910078,0.000372027,4.3359e-05,0.0914231
250,60,4.50267,0.000201271,2.9323e-05,4.5029
320,100,4.53298,0.000265645,3.2184e-05,4.53327
150,450,4.47024,0.000412258,5.5548e-05,4.47071
400,330,4.49542,0.000824174,0.00010858,4.49635
360,70,4.48397,0.000243566,3.0583e-05,4.48424
440,290,4.50888,0.00117331,9.587e-05,4.51015
120,60,4.49594,0.000235034,4.0996e-05,4.49621
500,10,4.4772,0.000188091,2.9512e-05,4.47742
470,350,4.5096,0.000937555,0.000134158,4.51068
500,370,4.50397,0.00104949,0.000149791,4.50517
60,410,4.48452,0.000279191,3.3824e-05,4.48484
50,300,4.4686,0.00022381,3.199e-05,4.46885
250,250,4.50036,0.000376415,5.2756e-05,4.50079
320,150,4.49983,0.000318731,4.3064e-05,4.50019
280,280,0.0983488,0.000525615,6.7028e-05,0.0989415
490,40,4.50566,0.000278772,3.7532e-05,4.50598
230,250,4.49535,0.000356235,4.9691e-05,4.49576
130,350,4.46857,0.000305372,4.1159e-05,4.46891
220,270,4.50002,0.000368033,5.0574e-05,4.50043
330,220,4.48689,0.000408281,5.9712e-05,4.48736
400,180,4.50948,0.000405509,5.9823e-05,4.50995
120,280,4.46106,0.000265404,3.2769e-05,4.46136
220,380,4.5109,0.000451667,6.9661e-05,4.51142
410,250,4.48625,0.000623791,8.5379e-05,4.48696
120,380,4.50426,0.000302441,4.1903e-05,4.5046
510,60,4.493,0.00026336,3.2782e-05,4.49329
150,500,4.48649,0.00040999,6.2661e-05,4.48696
290,350,4.52792,0.000608794,8.5083e-05,4.52861
210,490,4.52175,0.000656326,8.1155e-05,4.52249
250,190,4.48366,0.000321614,4.3161e-05,4.48402
150,370,4.46147,0.000334238,4.8926e-05,4.46185
490,140,4.50375,0.000389469,5.7629e-05,4.5042
270,440,4.50185,0.000665476,9.8679e-05,4.50261
360,300,4.51555,0.000666662,8.5269e-05,4.51631
300,420,4.47873,0.000709424,0.000104254,4.47955
480,220,4.50239,0.000619792,8.7688e-05,4.5031
410,280,4.47488,0.000680649,9.4564e-05,4.47565
340,220,4.50404,0.000411187,6.2205e-05,4.50452
480,310,4.49932,0.000895162,0.000122508,4.50034
410,360,4.49282,0.000865538,0.000120793,4.49381
50,390,4.47771,0.000248709,3.218e-05,4.47799
120,70,4.44776,0.000177693,2.9988e-05,4.44796
200,430,0.0765011,0.000459377,7.4716e-05,0.0770352
350,350,4.48742,0.000690271,0.000101436,4.48821
400,190,4.48792,0.000419234,6.354e-05,4.4884
140,300,4.51783,0.000298673,3.8986e-05,4.51817
230,120,4.47091,0.000249671,2.9501e-05,4.47119
510,20,4.49935,0.000198003,3.2283e-05,4.49958
230,460,4.54448,0.000658915,8.1605e-05,4.54522
240,250,4.49104,0.000363776,5.1189e-05,4.49145
460,470,4.50308,0.00114083,0.000174594,4.50439
200,260,0.107584,0.000332212,4.7848e-05,0.107964
220,430,4.5101,0.000689613,7.8561e-05,4.51087
160,150,4.46335,0.000242428,3.1397e-05,4.46362
480,10,4.50986,0.000170932,3.0376e-05,4.51006
110,20,4.49541,0.000156396,2.9051e-05,4.49559
490,470,4.53244,0.00157051,0.000178274,4.53418
90,150,4.48898,0.000203714,3.0443e-05,4.48922
230,280,4.50166,0.000377314,5.4273e-05,4.50209
360,260,4.47494,0.000583234,7.8441e-05,4.4756
310,370,0.0921991,0.000782792,9.8611e-05,0.0930805
